"Date","Price","Open","High","Low"
"Jun 11, 2020","12203.91","12277.62","12328.95","12168.91"
"Jun 10, 2020","12277.76","12135.48","12286.47","12063.39"
"Jun 09, 2020","12134.92","12011.67","12184.62","11972.46"
"Jun 08, 2020","12011.63","11930.66","12027.99","11881.26"
"Jun 05, 2020","11939.08","12192.41","12212.20","11847.20"
"Jun 04, 2020","12189.00","12086.71","12241.17","12075.39"
"Jun 03, 2020","12088.42","12269.83","12313.89","12039.69"
"Jun 02, 2020","12269.94","12400.55","12425.71","12224.38"
"Jun 01, 2020","12400.52","12411.64","12440.70","12325.09"
"May 29, 2020","12345.83","12280.46","12402.47","12238.25"
"May 28, 2020","12280.53","12255.73","12354.87","12229.03"
"May 27, 2020","12255.91","12206.38","12299.20","12136.43"
"May 26, 2020","12206.38","12338.28","12383.77","12189.90"
"May 25, 2020","12343.59","12368.55","12378.55","12284.74"
"May 22, 2020","12367.77","12287.51","12431.20","12265.00"
"May 21, 2020","12295.56","12399.83","12427.76","12210.61"
"May 20, 2020","12399.54","12386.24","12462.76","12365.98"
"May 19, 2020","12386.24","12317.01","12414.85","12266.22"
"May 18, 2020","12317.18","12093.54","12568.87","12093.54"
"May 15, 2020","12375.53","12278.63","12443.86","12261.10"
"May 14, 2020","12279.33","12173.96","12328.39","12138.73"
"May 13, 2020","12174.12","12060.36","12191.70","12046.01"
"May 12, 2020","12060.43","12047.31","12122.76","12020.12"
"May 11, 2020","12046.96","12044.85","12123.49","12001.97"
"May 08, 2020","12041.38","12158.18","12200.29","12033.61"
"May 07, 2020","12159.58","11975.26","12206.76","11942.75"
"May 06, 2020","11976.00","12047.23","12123.00","11951.93"
"May 05, 2020","12046.92","12036.43","12096.85","11945.36"
"May 04, 2020","12015.31","11998.68","12094.51","11948.14"
"May 01, 2020","12008.61","11914.82","12051.87","11794.32"
"Apr 30, 2020","11914.18","12122.17","12153.01","11869.02"
"Apr 29, 2020","12122.10","12092.99","12156.25","12013.53"
"Apr 28, 2020","12096.88","12149.38","12164.22","11975.74"
"Apr 27, 2020","12149.34","12224.39","12237.06","12089.12"
"Apr 24, 2020","12239.29","12243.38","12297.75","12111.57"
"Apr 23, 2020","12236.03","12150.46","12297.76","12089.06"
"Apr 22, 2020","12149.71","11959.99","12182.22","11902.50"
"Apr 21, 2020","11960.13","11996.85","12034.83","11783.50"
"Apr 20, 2020","11996.92","11969.38","12049.53","11822.55"
"Apr 17, 2020","11915.90","12159.95","12174.40","11878.28"
"Apr 16, 2020","12160.71","12133.57","12298.77","12091.46"
"Apr 15, 2020","12132.93","12176.97","12213.91","12062.25"
"Apr 14, 2020","12177.04","12080.59","12321.82","12042.05"
"Apr 13, 2020","12080.66","11860.57","12157.92","11784.37"
"Apr 10, 2020","11890.14","11857.68","11950.59","11787.38"
"Apr 09, 2020","11857.12","11626.65","11911.21","11610.14"
"Apr 08, 2020","11626.64","11612.50","11709.79","11573.75"
"Apr 07, 2020","11612.75","11786.38","11870.08","11575.48"
"Apr 06, 2020","11786.20","11330.67","11844.72","11330.67"
"Apr 03, 2020","11480.79","11431.43","11533.31","11361.03"
"Apr 02, 2020","11433.42","11298.64","11484.31","11214.79"
"Apr 01, 2020","11298.50","11172.38","11386.88","11092.87"
"Mar 31, 2020","11171.59","11520.95","11602.86","11132.13"
"Mar 30, 2020","11519.63","11510.13","11625.88","11408.28"
"Mar 27, 2020","11547.77","11536.29","11603.25","11427.42"
"Mar 26, 2020","11536.50","11507.04","11652.08","11324.29"
"Mar 25, 2020","11506.96","11497.09","11604.96","11275.55"
"Mar 24, 2020","11497.13","11020.93","11574.41","11017.66"
"Mar 23, 2020","11019.76","10701.91","11074.88","10541.62"
"Mar 20, 2020","10633.89","10456.24","10714.12","10380.14"
"Mar 19, 2020","10461.57","10474.55","10613.85","10360.32"
"Mar 18, 2020","10548.83","10774.72","10787.15","10392.41"
"Mar 17, 2020","10713.00","10587.69","10883.90","10286.29"
"Mar 16, 2020","10590.34","10936.64","11020.67","10189.62"
"Mar 13, 2020","10721.02","11092.08","11172.05","10560.22"
"Mar 12, 2020","11087.64","11380.05","11505.42","10974.12"
"Mar 11, 2020","11380.42","11470.83","11610.55","11365.80"
"Mar 10, 2020","11474.17","11672.42","11675.38","11424.58"
"Mar 09, 2020","11671.42","11744.10","11802.66","11501.46"
"Mar 06, 2020","11605.97","11603.82","11729.80","11424.06"
"Mar 05, 2020","11601.17","11334.48","11617.55","11321.94"
"Mar 04, 2020","11337.13","11418.81","11495.38","11323.49"
"Mar 03, 2020","11422.45","11070.14","11484.13","11057.30"
"Mar 02, 2020","11065.23","11124.34","11226.75","11029.35"
"Feb 28, 2020","11083.11","11522.27","11554.50","10948.44"
"Feb 27, 2020","11520.57","11522.38","11630.46","11456.91"
"Feb 26, 2020","11523.13","11465.85","11617.63","11419.19"
"Feb 25, 2020","11467.00","11660.50","11670.06","11425.80"
"Feb 24, 2020","11663.64","11656.35","11873.64","11614.68"
"Feb 21, 2020","11550.37","11376.78","11593.85","11371.87"
"Feb 20, 2020","11374.41","11277.42","11403.51","11237.05"
"Feb 19, 2020","11278.18","11203.55","11287.58","11189.51"
"Feb 18, 2020","11205.55","11056.06","11232.86","11053.62"
"Feb 17, 2020","11038.21","11072.09","11072.86","11017.51"
"Feb 14, 2020","11072.17","10995.16","11074.49","10982.83"
"Feb 13, 2020","10997.32","10917.62","11013.57","10914.03"
"Feb 12, 2020","10917.83","10921.92","10949.26","10883.90"
"Feb 11, 2020","10921.75","10976.40","10983.24","10882.18"
"Feb 10, 2020","10980.42","10993.64","11040.35","10955.35"
"Feb 07, 2020","10994.35","10921.42","11019.93","10903.09"
"Feb 06, 2020","10921.11","10850.51","10930.08","10801.05"
"Feb 05, 2020","10851.38","10869.62","10939.28","10792.91"
"Feb 04, 2020","10867.66","11068.17","11090.56","10840.65"
"Feb 03, 2020","11071.47","11028.27","11102.58","10977.91"
"Jan 31, 2020","11030.66","10920.82","11030.66","10896.34"
"Jan 30, 2020","10920.48","10938.78","11001.32","10907.89"
"Jan 29, 2020","10938.39","10873.69","10945.72","10842.68"
"Jan 28, 2020","10873.51","10970.17","10981.87","10860.33"
"Jan 27, 2020","10973.54","10963.62","11006.45","10929.28"
"Jan 24, 2020","10895.08","10840.94","10930.50","10794.55"
"Jan 23, 2020","10840.98","10762.46","10876.19","10754.52"
"Jan 22, 2020","10766.19","10762.17","10769.63","10697.15"
"Jan 21, 2020","10761.56","10718.95","10813.45","10674.35"
"Jan 20, 2020","10741.53","10690.72","10741.53","10668.98"
"Jan 17, 2020","10677.80","10678.70","10710.11","10650.58"
"Jan 16, 2020","10679.57","10725.68","10738.53","10647.51"
"Jan 15, 2020","10724.31","10646.24","10737.64","10643.83"
