,Date,Price_TUSD/USD
158,2018-08-11,1.00593
159,2018-08-12,0.999114
160,2018-08-13,1.00366
161,2018-08-14,1.00258
162,2018-08-15,1.00196
163,2018-08-16,1.00161
164,2018-08-17,1.00142
165,2018-08-18,1.00397
166,2018-08-19,1.00031
167,2018-08-20,1.00547
168,2018-08-21,1.00158
169,2018-08-22,1.00442
170,2018-08-23,1.00074
171,2018-08-24,1.00312
172,2018-08-25,1.0032
173,2018-08-26,1.00291
174,2018-08-27,1.00005
175,2018-08-28,1.00217
176,2018-08-29,1.00234
177,2018-08-30,1.00112
178,2018-08-31,1.00331
179,2018-09-01,0.999304
180,2018-09-02,0.997898
181,2018-09-03,1.00061
182,2018-09-04,1.00245
183,2018-09-05,1.01239
184,2018-09-06,1.00402
185,2018-09-07,1.0114
186,2018-09-08,1.00471
